"","X","PROGRAM.TYPE","PROGRAM","SITE.NAME","BOROUGH...COMMUNITY","AGENCY","Contact.Number","Grade.Level...Age.Group","Location.1","Postcode","Latitude","Longitude"
"512",512,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Agudath Israel of America Community Services, Inc.","New York","Agudath Israel of America Community Services, Inc.","(212) 809-5935 x 104","16+","225 Broadway",10007,40.71187,-74.008217
"513",513,"After-School Programs","Beacon","JHS 204","Queens","Hellenic American Neighborhood Action Committee","718.433.1989","6 and up","36 41 28th Street",11106,40.757065,-73.932664
"514",514,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Highbridge Community Life Center","Bronx","Highbridge Community Life Center","(718) 681-2222","16+","950 Anderson Avenue",10452,40.831036,-73.928079
"515",515,"After-School Programs","Out of School Time","C.S. 102 JOSEPH LORETAN SCHOOL","Bronx","Kips Bay Boys & Girls Club","(718) 893-8600","Elementary","1827 Archer Street",10460,40.837631,-73.866036
"516",516,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Washington Houses Community Center","Manhattan","Union Settlement Association","(212) 828-6298","16+","1775 3rd Avenue",10029,40.786574,-73.948303
"517",517,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Audrey Johnson DCC","Brooklyn","Bushwick Community Action Association, Inc.","(718) 574-0130","Elementary","272 Moffat Street",11207,40.689834,-73.904137
"518",518,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 55 HENRY BOEHM SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 704-8500","OST","54 Osborne Street",10312,40.536639,-74.163815
"519",519,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","New York City Mission Society","New York","New York City Mission Society","212.979.5764","High School","646 Malcolm X Boulevard",10037,40.818813,-73.937414
"520",520,"After-School Programs","Beacon","MS 201","Bronx","Graham Windham ","718.861.4671 ext. 230","6 and up","730 Bryant Avenue",10474,40.815477,-73.88577
"521",521,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 149 - Christa Mcauliffe","Queens","Goodwill Industries of Greater New York","718-426-0888","A parent 16 Years Old or Older ","93 11 34th Avenue",11372,40.754837,-73.874605
"522",522,"Immigration Services,Immigrant Support Services","Domestic Violence Program","The Child Center of NY ï¿½ WIA Office","Queens","Safe Space","212.206.3440 ext. 237","All Ages","163 18 Jamaica Av",11432,40.704799,-73.796524
"523",523,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Queens Community House, Inc.","Queens","Queens Community House, Inc.","718-592-5757 ","14 to 24","108 25 62nd Drive",11375,40.73591,-73.850212
"524",524,"After-School Programs","Out of School Time","School for Democracy","Brooklyn","Community Counseling and Mediation","(718) 230-5100","Middle School","600 Kingston Avenue",11203,40.658893,-73.942458
"525",525,"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA INGERSOLL HOUSES","Brooklyn","Goodwill Industries @Raymond V. Ingersoll Community Center","(718) 522-5604","6 and up","177 Myrtle Avenue",11201,40.693614,-73.982305
"526",526,"After-School Programs","Out of School Time","P.S. 102 BAYVIEW SCHOOL","Queens","Maspeth Town Hall, Inc.","(646) 300-4320","Elementary","55 24 Van Horn Street",11373,40.733514,-73.877857
"527",527,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 19 - Curtis School","Staten Island","Jewish Community Center of Staten Island, Inc.","718-508-3883","A parent 16 Years Old or Older ","780 Post Avenue",10310,40.631214,-74.127101
"528",528,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Avenue St. John","Bronx","Citizens Advice Bureau, Inc.","(718) 401-1227","Elementary","666 Southern Boulevard",10455,40.813199,-73.900343
"529",529,"After-School Programs","Out of School Time","P.S. 96 RICHARD RODGERS SCHOOL","Bronx","Neighborhood Initiatives Development Corporation","(718) 231-9800","Elementary","650 Waring Avenue",10467,40.861371,-73.869296
"530",530,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Community Counseling & Mediation","Brooklyn","Community Counseling & Mediation","718-875-7751 x240","14 to 24","261 Buffalo Ave",11213,40.669991,-73.925427
"531",531,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SoBRO","Bronx","SoBRO","(718) 292-3113 x 7611","16+","555 Bergen Avenue",10455,40.815959,-73.916354
"532",532,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 193 ALFRED KENNEDY SCHOOL","Queens","Sports and Arts In Schools Foundation, Inc.","(718) 276-5140","Elementary","152 20 11 AVENUE",11357,40.792483,-73.809741
"533",533,"Immigration Services,Immigrant Support Services","Legal Assistance Program","Queens Family Justice Center","Queens","Sanctuary for Families","212-349-6009 ","All Ages","126 02 82nd Ave",11415,40.713732,-73.826122
"534",534,"After-School Programs","Out of School Time","Edith & Carl Marks HS","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","(718) 331-6800","High School","7802 Bay Parkway",11214,40.606369,-73.989235
"535",535,"After-School Programs","Out of School Time","C.E.S. 73 P.S. 73","Bronx","Woodycrest Center For Human Development","(718) 293-3198","Elementary","1020 ANDERSON AVENUE",10452,40.832706,-73.926838
"536",536,"After-School Programs","Out of School Time","P.S. 153 MASPETH SCHOOL","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","Elementary","60 02 60 LANE",11378,40.716609,-73.903669
"537",537,"Family Support,NDA Programs"," Housing","Brooklyn Housing & Family Services, Inc.","Brooklyn","Cooper Square Committee","(718) 435-7585","Adults","1281 Saint Johns Place",11213,40.670848,-73.935649
"538",538,"After-School Programs","Out of School Time","P.S. 38 PACIFIC SCHOOL","Brooklyn","YMCA of Greater New York/Dodge YMCA","(718) 624-3468","Elementary","450 PACIFIC STREET",11217,40.685264,-73.982639
"539",539,"Family Support,NDA Programs","Housing","Agudath Isreal of America Community Services Inc.","Brooklyn","Bridges Juvenile Center","(718) 435-1300","Adults","4520 18th Avenue",11204,40.630165,-73.978416
"540",540,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 73 - The Bronx School","Bronx","Highbridge Community Life Center (HCLC)","718-681-2222","A parent 16 Years Old or Older ","1020 Anderson Avenue",10452,40.832706,-73.926838
"541",541,"After-School Programs","Out of School Time","Fort Hamiltion HS","Brooklyn","The National Chorale","(212) 333-5333","High School","8301 Shore Road",11209,40.627835,-74.040046
"542",542,"After-School Programs","Teen Action Program","Canarsie High School","Brooklyn","Hospital Audiences, Inc.","212.575.7670 ext.246","13 to 21","1600 Rockaway Parkway",11236,40.641474,-73.898254
"543",543,"After-School Programs","Out of School Time","McDonalds Restaurant 1","Manhattan","YM-YWHA of Washington Heights Inwood","(212) 569-6200","Elementary","208 Dyckman Street",10040,40.865028,-73.926954
"544",544,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Thessalonia Baptist Church","Bronx","Dunlevy Milbank Center","(718) 542-0006","Seniors","951 Rev James A Polite Avenue",10459,40.822137,-73.898939
"545",545,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Inwood Community Services, Inc.","New York","Inwood Community Services, Inc.","(212) 942-0043 x 126","16+","651 Academy Street",10034,40.866001,-73.924777
"546",546,"After-School Programs","Out of School Time","Shorefront YM-YWHA","Brooklyn","Shorefront YM-YWHA","(718) 646-1444","High School","3300 Coney Island Avenue",11235,40.575607,-73.959463
"547",547,"After-School Programs","Out of School Time","I.S. 52","Manhattan","Inwood Community Services, Inc.","(212) 942-0043","High School","650 Academy Street",10034,40.866053,-73.924835
"548",548,"After-School Programs","Out of School Time","PS 371-Special Ed","Brooklyn","St. Francis Xavier Parish","(718) 369-5522","High School","355 37th Street",11232,40.654293,-74.005889
"549",549,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Beach 41st Club (middle sch..)","Queens","Madison Square Boys & Girls Club","(718) 471-5453","OST","426 Beach 40th Street",11691,40.596249,-73.772408
"550",550,"After-School Programs","Out of School Time","J.H.S. 216 GEORGE J. RYAN JUNI","Queens","Samuel Field YM & YWHA, Inc.","(646) 752-3226","Middle School","64 20 175th Street",11365,40.737517,-73.794031
"551",551,"After-School Programs","Beacon","IS 192","Bronx","Phipps Community Development","718.239.4080","6 and up","650 Hollywood Avenue",10465,40.826526,-73.818417
"552",552,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Research Foundation of CUNY - Medgar Evers College","Brooklyn","Research Foundation of CUNY - Medgar Evers College","718-270-6152","14 to 24","1155 Carroll Street",11225,40.667222,-73.951337
"553",553,"Immigration Services,Immigrant Support Services","Domestic Violence Program","Queens Jewish Community Council","Queens","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","119 45 Union Turnpike",11375,40.713909,-73.832351
"554",554,"After-School Programs","Teen Action Program","Central Queens YM & YWHA","Queens","Jewish Child Care Association","914.424.3406","13 to 21","67 09 108th Street",11375,40.728702,-73.847414
"555",555,"After-School Programs","Out of School Time","I.S. 281 JOSEPH B. CAVALLARO S","Brooklyn","St. Rosalia-Regina Pacis Neighborhood Improvement","(917) 757-8950","Middle School","8787 24th Avenue",11214,40.595341,-73.993457
"556",556,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 383 PHILLIPPA SCHUYLER (K383)","Brooklyn","Make the Road New York","(347) 417-8180","Middle School","1300 GREENE AVENUE",11237,40.697781,-73.919777
"557",557,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 34 OLIVER H. PERRY SCHOOL","Brooklyn","School Settlement","(718) 599-9224","OST","131 NORMAN AVENUE",11222,40.726135,-73.949649
"558",558,"After-School Programs","Out of School Time","I.S. 227 EDWARD SHALLOW SCHOOL","Brooklyn","St. Rosalia-Regina Pacis Neighborhood Improvement","(718) 621-3483","Middle School","6500 16th avenue",11204,40.62191,-73.995022
"559",559,"After-School Programs,Summer Program,Summer Camp","Out of School Time","PS 2","Manhattan","Vision Urbana Senior Center","(212) 227-0762","Middle School","122 Henry Street",10002,40.713273,-73.991339
"560",560,"After-School Programs","Out of School Time","C.S. 134 GEORGE F. BRISTOW SCHOOL","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 825-5626","Elementary","1330 Bristow Street",10459,40.83132,-73.894794
"561",561,"After-School Programs,Summer Program,Summer Camp","Out of School Time","PS 272 Temporary","Brooklyn","Bergen Basin Community Development Corp.","(917) 968-2254","Elementary","101 24 Seaview Ave
Temporary ",11236,40.635916,-73.886412
"562",562,"After-School Programs","Out of School Time","M.S. 137 M.S. 137 - AMERICA'S","Queens","South Queens Boys & Girls Club","(718) 441-6050","Middle School","109 15 98th Street",11417,40.6781,-73.839948
"563",563,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 160 WALT DISNEY SCHOOL","Bronx","Mosholu Montefiore Community Center, Inc.","(917) 482-5016","Elementary","4140 HUTCHINSON RIVER PKWY",10475,40.864676,-73.824303
"564",564,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 19 ASHER LEVY SCHOOL","Manhattan","Chinese American Planning Council","(212) 533-2670","Elementary","185 1st Avenue",10003,40.729636,-73.983818
"565",565,"After-School Programs","Out of School Time","South Jamaica PAL","Queens","Police Athletic League, Inc.","(718) 978-4655","High School","116 25 Guy R Brewer Boulevard",11434,40.686208,-73.784144
"566",566,"After-School Programs","Beacon","PS/IS 217","Manhattan","Roosevelt Island Youth Program Inc. ","212.527.2505","6 and up","645 Main Street",10044,40.763894,-73.947916
"567",567,"After-School Programs","Out of School Time","H.S. 528 HIGH SCHOOL FOR GLOBA","Brooklyn","Global Kids, Inc.","(212) 226-0130","High School","883 Classon Avenue",11225,40.670349,-73.961695
"568",568,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Opportunities for a Better Tomorrow","Brooklyn","Opportunities for a Better Tomorrow","718.369.0303","16 to 21","783 4th Avenue",11232,40.65927,-73.999268
"569",569,"After-School Programs","Out of School Time","East Bronx NAACP","Bronx","Tremont Crotona Day Care Center, Inc","(718) 617-2900","Elementary","1113 Colgate Avenue",10472,40.82629,-73.881509
"570",570,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","St. Nicholas NPC/Williamsburg Works","Brooklyn","St Nicholas NPC - Williamsburg Works","(718) 302-2057 x 204","16+","545 Broadway
Lower Level ",11206,40.704937,-73.949311
"571",571,"NDA Programs,Senior Programs,Older Adult Program","Seniors","St. Andrews Senior Housing","Bronx","Vannguard Urban Improvement Association, Inc.","(718) 542-0006","Seniors","2155 Virgil Place",10473,40.822318,-73.850263
"572",572,"After-School Programs","Out of School Time","M.S. 210 ELIZABETH BLACKWELL S","Queens","Forest Park Rangers Inc.","(917) 309-4059","Middle School","93 11 101st Avenue",11416,40.683858,-73.84747
"573",573,"After-School Programs","Out of School Time","Central Park East","Manhattan","East Harlem Tutorial Program, Inc.","(212) 831-0650","High School","1573 Madison Avenue",10029,40.793763,-73.949381
"574",574,"After-School Programs,Summer Program,Summer Camp","Out of School Time","New Life Child Develop. #2","Brooklyn","New Life Child Development Corporation","(718) 417-4206","OST","408 Grove Street",11237,40.701224,-73.912863
"575",575,"After-School Programs","Out of School Time","Brooklyn Children's Museum","Brooklyn","Brooklyn Childrens Museum","(718) 735-4400","High School","145 Brooklyn Avenue",11213,40.674773,-73.944464
"576",576,"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Tolentine-Zeiser Community Center/St. Ritas","Bronx","Good Companions Senior center","(718) 933-6935","Adults","2342 Andrews Avenue",10468,40.862324,-73.906553
"577",577,"After-School Programs","Out of School Time","P.S. 124 SILAS DUTCHER SCHOOL","Brooklyn","YMCA of Greater New York/Prospect Park","(718) 788-0246","Elementary","515 4th AVENUE",11215,40.667545,-73.991046
"578",578,"NDA Programs,Senior Programs,Older Adult Program","Seniors","SEBCO Father Banome Senior Housing","Bronx","Turning Point HDFC (Main Office)","(718) 542-0006","Seniors","1876 Belmont Avenue",10457,40.844581,-73.893053
"579",579,"After-School Programs","Out of School Time","PAL Webster Center","Bronx","Police Athletic League, Inc.","(718) 733-6748","Elementary","2255 Webster Avenue",10457,40.855656,-73.895978
"580",580,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527)","Bronx","CPC Queens Branch Office","(718) 665-2486"," High School","1100 BOSTON ROAD",10456,40.827514,-73.904622
"581",581,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Mill Brook Center","Bronx","East Side House, Inc.","(718) 585-1254","OST","201 St Ann's Avenue",10454,40.805742,-73.918238
"582",582,"After-School Programs","Out of School Time","P.S. 229 DYKER SCHOOL","Brooklyn","St. Rosalia-Regina Pacis Neighborhood Improvement","(718) 236-5447","Elementary","1400 Benson Avenue",11228,40.610963,-74.013376
"583",583,"Jobs & Internships","Young Adult Internship Program","Brooklyn Job Corps Academy","Brooklyn","Arbor - NY","718.623.4031","16 to 24","585 DeKalb Avenue",11205,40.691223,-73.952765
"584",584,"After-School Programs","Out of School Time","P.S. 14 JOHN D. CALANDRA SCHOOL","Bronx","YMCA of Greater New York/Bronx","(718) 822-5341","Elementary","3041 Bruckner Boulevard",10461,40.835779,-73.825735
"585",585,"After-School Programs","Out of School Time","Flatbush Club (high school)","Brooklyn","Madison Square Boys & Girls Club","(718) 462-6100","High School","2245 Bedford Avenue",11226,40.649122,-73.955765
"586",586,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 259 WILLIAM MCKINLEY (K259)","Brooklyn","Elmhurst Jackson Heights Senior Center","(212) 652-2812","Middle School","7301 FT HAMILTON PARKWAY",11228,40.626694,-74.015098
"587",587,"After-School Programs,Summer Program,Summer Camp","Out of School Time","MS 56-Corlears","Manhattan","Vision Urbana Senior Center","(212) 227-0762","Middle School","220 Henry Street",10002,40.713684,-73.986336
"588",588,"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Alianza Dominicana, Inc. (Admin & Activity site)","Bronx","Alianza Dominicana, Inc.","212.740.1960","18+","1257 Ogden Avenue",10452,40.839378,-73.925714
"589",589,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Kips Bay Boys and Girls Club -","Bronx","Kips Bay Boys & Girls Club","(718) 828-4518","OST","625 Castle Hill Avenue",10473,40.819754,-73.848209
"590",590,"After-School Programs","Out of School Time","Franklin K. Lane","Brooklyn","Cypress Hills Local Development Corporation","(718) 235-1521","High School","999 Jamaica Avenue",11208,40.691146,-73.868328
"591",591,"After-School Programs","Out of School Time","I.S. 302 RAFAEL CORDERO Y. MOL","Brooklyn","New York Junior Tennis League","(347) 417-8182","Elem/MS/HS","350 Linwood Street",11208,40.677104,-73.883433
"592",592,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 140 EAGLE SCHOOL","Bronx","Kips Bay Boys & Girls Club","(718) 585-1205","OST","916 Eagle Avenue",10456,40.823289,-73.907948
"593",593,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Grant Day Care","Manhattan","Boys & Girls Harbor, Inc","(646) 270-1210","Elementary","1299 Amsterdam Avenue",10027,40.811919,-73.957318
"594",594,"After-School Programs","Out of School Time","Jewish Institute of Queens","Queens","Jewish Institute of Queens","(718) 426-9369","Elementary","60 05 Woodhaven Boulevard",11373,40.731256,-73.871561
"595",595,"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.S. 134 GEORGE F. BRISTOW SCH","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 825-5626","OST","1330 Bristow Street",10459,40.83132,-73.894794
"596",596,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 170 LEXINGTON SCHOOL","Brooklyn","CAMBA  ","(718) 921-2486","Elementary","7109 6th Avenue",11209,40.630843,-74.01913
"597",597,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","The International High School @ Prospect Heights (K524)","Brooklyn","Chinese American Planning Council","212.941.0920","High School","883 Classon Avenue",11225,40.670349,-73.961695
"598",598,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Red Hook Initiative","Brooklyn","Morrisania Revitalization Corporation","(718) 858-6782","Middle School","595 Clinton Street",11231,40.675091,-74.001676
"599",599,"After-School Programs,Summer Program,Summer Camp","Out of School Time","PAL Webster Center","Bronx","Police Athletic League, Inc.","(718) 733-6748","OST","2255 Webster Avenue",10457,40.855656,-73.895978
"600",600,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 166 GEORGE GERSHWIN (K166)","Brooklyn","IPR/HE Brooklyn Caregivers","(212) 652-2812","Middle School","800 VAN SICLEN AVENUE",11207,40.66011,-73.885387
"601",601,"NDA Programs,Senior Programs,Older Adult Program","Seniors","BCA Bensonhurst District Office","Brooklyn","HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275)","(718) 438-0008","Seniors","6809 20th Avenue",11204,40.61468,-73.987765
"602",602,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 123 P.S. 123","Queens","Safe Space","(347) 678-6437","OST","145 01 119th Avenue",11436,40.678296,-73.79562
"603",603,"After-School Programs","Out of School Time","P.S./I.S. 83 DONALD HERTZ SCHOOL","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 319-0769","Elementary","950 Rhinelander Avenue",10462,40.849395,-73.859249
"604",604,"Family Support,NDA Programs"," Housing","Queens Community in Jackson Heights","Queens","Agnes Y. Humphrey School for Leadership 27 (K027)","(718) 592-5757","Adults","74 09 37th Avenue",11372,40.748992,-73.891561
"605",605,"After-School Programs","Beacon","IS 302","Brooklyn","Cypress Hills Local Develoment Corporation ","718.277.3522","6 and up","350 Linwood Street",11208,40.677104,-73.883433
"606",606,"After-School Programs","Out of School Time","P.S. 48 POLICE OFFICER MICHAEL","Manhattan","Community Association of Progressive Dominicans","(646) 652-9918","Elementary","4360 Broadway",10033,40.853466,-73.934048
"607",607,"Immigration Services,Immigrant Support Services","Services - Immigrant Families","New Immigrant Community Empowerment (NICE) (Admin & Activity site)","Queens","New Immigrant Community Empowerment (NICE)","718.205.8796","18+","37 41 77th Street",11372,40.748031,-73.888838
"608",608,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Five Block Day Care","Brooklyn","Big Five Block Association Inc.","(718) 363-3211","Elementary","995 Carroll Street",11225,40.66771,-73.957331
"609",609,"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 73 P.S. 73","Bronx","Woodycrest Center For Human Development","(718) 293-3198","OST","1020 ANDERSON AVENUE",10452,40.832706,-73.926838
"610",610,"After-School Programs","Out of School Time","I.S. 113 RONALD EDMONDS SCHOOL","Brooklyn","Long Island University","(718) 488-1514","Middle School","300 Adelphi Street",11205,40.688811,-73.971009
"611",611,"After-School Programs","Out of School Time","I.S. 13 JACKIE ROBINSON SCHOOL","Manhattan","New York Junior Tennis League","(347) 417-8189","Middle School","1573 Madison Avenue",10029,40.793763,-73.949381
"612",612,"After-School Programs","Out of School Time","P.S. 219 KENNEDY-KING SCHOOL","Brooklyn","University Settlement Society of New York, Inc","(917) 828-6376","Elementary","1060 CLARKSON AVENUE",11212,40.659288,-73.922919
"613",613,"After-School Programs","Beacon","PS 269","Brooklyn","Church Avenue Merchants Block Association Inc. ","718.462.2597 ext.232","6 and up","1957 Nostrand Avenue",11210,40.637711,-73.948159
"614",614,"After-School Programs","Beacon","JHS 168","Queens","Child Center of New York ","718.820.0760","6 and up","158 40 76th Road",11366,40.724458,-73.810216
"615",615,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Brooklyn Chinese American Association","Brooklyn","Brooklyn Chinese American Association","718-438-0008","A parent 16 Years Old or Older ","5010 8th Avenue",11220,40.640998,-74.003848
"616",616,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Southern Queens Park Association","Queens","Southern Queens Park Association","718-276-4630  x107","14 to 24","177 01 Baisley Boulevard",11434,40.686284,-73.768455
"617",617,"After-School Programs","Teen Action Program","IS 219 NEW VENTURE SCHOOL (X219)","Bronx","Directions For Our Youth, Inc.","212.362.4020","13 to 21","3630 Third Avenue",10456,40.833511,-73.90449
"618",618,"After-School Programs","Teen Action Program","High School for Global Citizenship","Brooklyn","Hospital Audiences, Inc.","212.575.7670 ext.251","13 to 21","883 Classon Avenue",11225,40.670349,-73.961695
"619",619,"After-School Programs","Out of School Time","M.S. 158 MARIE CURIE SCHOOL","Queens","Samuel Field YM & YWHA, Inc.","(718) 281-1053","Middle School","46 35 Oceania Street",11361,40.756139,-73.772862
"620",620,"After-School Programs","Out of School Time","P.S. 56 LOUIS DE SARIO SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 987-8111","Elementary","250 KRAMER AVENUE",10309,40.542246,-74.214002
"621",621,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Italian American Civil Rights League (Italian American Civil","Brooklyn","Italian American Civil Rights League (Italian American Civil","718.642.2857","High School","1460 Pennsylvania Avenue",11239,40.646068,-73.879786
"622",622,"After-School Programs","Out of School Time","P.S. 19 CURTIS SCHOOL","Staten Island","YMCA of Greater New York/Staten Island YMCA","(718) 889-3477","Elementary","780 POST AVENUE",10310,40.631214,-74.127101
"623",623,"After-School Programs","Beacon","Tottenville HS","Staten Island","Jewish Community Center of Staten Island","718.605.3033","6 and up","100 Luten Avenue",10312,40.528092,-74.192032
"624",624,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Henry Street Settlement, Inc. - Vulnerable Youth","Manhattan","Henry Street Settlement, Inc. - Vulnerable Youth","212-254-3100","14 to 24","265 Henry Street",10002,40.713857,-73.984532
"625",625,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 223 LYNDON BAINES JOHNSON","Queens","The Child Center of New York (QCG) ","(347) 510-4895","OST","125 20 SUTPHIN BOULEVARD",11434,40.674519,-73.789399
"626",626,"After-School Programs","Out of School Time","YMCA/Flatbush","Brooklyn","YMCA of Greater New York/Flatbush Branch","(718) 469-8100","High School","1401 Flatbush Avenue",11210,40.636511,-73.951539
"627",627,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 189 P.S.  189","Manhattan","Washington Heights- Inwood Coalition, Inc","(347) 726-8046","OST","2580 AMSTERDAM AVENUE",10040,40.852631,-73.927604
"628",628,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","Tolentine -Zeiser Community Life Center/ St, Rita","Bronx","Catholic Charities Community Service, Archdiocese of N Y","718-365-4360 ","Adult","2342 Andrews Av (near Fordham Rd
Program Site ",10468,40.862324,-73.906553
"629",629,"After-School Programs","Teen Action Program","Lower East Side Preparatory School / AAFE","New York","Asian Americans for Equality","212.979.8381 ext.117","13 to 21","145 Stanton Street 111 Norfolk Street",10002,40.720581,-73.985645
"630",630,"After-School Programs","Out of School Time","Washington Irving HS","Manhattan","The Union Square Partnership","(212) 358-0165","High School","40 Irving Place",10003,40.735494,-73.987659
"631",631,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Middle School 206","Bronx","I.S. 126 - The Albert Shanker School for the Visual and Performing Arts","(212) 243-7070","Middle School","2280 Aqueduct Avenue",10468,40.859686,-73.906495
"632",632,"After-School Programs","Out of School Time","P.S. 291","Bronx","Good Shepherd Services","(718) 563-0473","Elementary","2195 Andrews Avenue",10453,40.85881,-73.909746
"633",633,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Southeast Bronx Neighborhood Centers, Inc.","Bronx","Southeast Bronx Neighborhood Center, Inc. (SEBNC)","718-542-2727","A parent 16 Years Old or Older ","955 Tinton Avenue",10456,40.823096,-73.902991
"634",634,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","United Communities Centers ","Brooklyn","United Communities Centers","718-649-7979","All Ages","613 New Lots Ave",11207,40.664728,-73.886561
"635",635,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Franklin K. Lane High School","Brooklyn","Cypress Hills Local Development Corporation","718-235-1521 x103","14 to 24","999 Jamaica Avenue",11208,40.691146,-73.868328
"636",636,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Henry Street Settlement Workforce Development Center","New York","Henry Street Settlement","212.478.5400 ext. 210","16 to 21","99 Essex Street",10002,40.718943,-73.988012
"637",637,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","Citizens Advice Bureau - Immigration Assistance Center","Bronx","Citizens Advice Bureau","718-365-0910","All Ages","1477 Townsend Ave",10452,40.841504,-73.915639
"638",638,"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training","Bronx","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","750 Astor Avenue",10467,40.859588,-73.865442
"639",639,"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 77 I.S. 77","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","OST","976 Seneca Avenue",11385,40.699516,-73.90214
"640",640,"After-School Programs","Out of School Time","P.S. 89 ELMHURST SCHOOL","Queens","The Child Center of New York (QCG) ","(718) 565-5702","Elementary","85 28 Britton Avenue",11373,40.745923,-73.880205
"641",641,"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA POLO GROUNDS TOWERS","Manhattan","Alianza Dominicana @Polo Grounds Community Center","(212) 491-6127","6 and up","2975 Eighth Avenue",10039,40.830651,-73.936189
