,Unnamed: 0,PROGRAM.TYPE,PROGRAM,SITE.NAME,BOROUGH...COMMUNITY,AGENCY,Contact.Number,Grade.Level...Age.Group,Location.1,Postcode,Latitude,Longitude
540,541,After-School Programs,Out of School Time,Fort Hamiltion HS,Brooklyn,The National Chorale,(212) 333-5333,High School,8301 Shore Road,11209,40.627835,-74.04004599999999
541,542,After-School Programs,Teen Action Program,Canarsie High School,Brooklyn,"Hospital Audiences, Inc.",212.575.7670 ext.246,13 to 21,1600 Rockaway Parkway,11236,40.641474,-73.89825400000001
542,543,After-School Programs,Out of School Time,McDonalds Restaurant 1,Manhattan,YM-YWHA of Washington Heights Inwood,(212) 569-6200,Elementary,208 Dyckman Street,10040,40.865028,-73.92695400000001
543,544,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Thessalonia Baptist Church,Bronx,Dunlevy Milbank Center,(718) 542-0006,Seniors,951 Rev James A Polite Avenue,10459,40.822137,-73.898939
545,546,After-School Programs,Out of School Time,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,(718) 646-1444,High School,3300 Coney Island Avenue,11235,40.575607,-73.959463
546,547,After-School Programs,Out of School Time,I.S. 52,Manhattan,"Inwood Community Services, Inc.",(212) 942-0043,High School,650 Academy Street,10034,40.866053,-73.924835
547,548,After-School Programs,Out of School Time,PS 371-Special Ed,Brooklyn,St. Francis Xavier Parish,(718) 369-5522,High School,355 37th Street,11232,40.654293,-74.005889
548,549,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Beach 41st Club (middle sch..),Queens,Madison Square Boys & Girls Club,(718) 471-5453,OST,426 Beach 40th Street,11691,40.596249,-73.772408
549,550,After-School Programs,Out of School Time,J.H.S. 216 GEORGE J. RYAN JUNI,Queens,"Samuel Field YM & YWHA, Inc.",(646) 752-3226,Middle School,64 20 175th Street,11365,40.737517,-73.794031
550,551,After-School Programs,Beacon,IS 192,Bronx,Phipps Community Development,718.239.4080,6 and up,650 Hollywood Avenue,10465,40.826526,-73.81841700000001
551,552,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - Medgar Evers College,Brooklyn,Research Foundation of CUNY - Medgar Evers College,718-270-6152,14 to 24,1155 Carroll Street,11225,40.667221999999995,-73.951337
553,554,After-School Programs,Teen Action Program,Central Queens YM & YWHA,Queens,Jewish Child Care Association,914.424.3406,13 to 21,67 09 108th Street,11375,40.728702,-73.847414
554,555,After-School Programs,Out of School Time,I.S. 281 JOSEPH B. CAVALLARO S,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(917) 757-8950,Middle School,8787 24th Avenue,11214,40.595341,-73.99345699999999
555,556,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 383 PHILLIPPA SCHUYLER (K383),Brooklyn,Make the Road New York,(347) 417-8180,Middle School,1300 GREENE AVENUE,11237,40.697781,-73.919777
556,557,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 34 OLIVER H. PERRY SCHOOL,Brooklyn,School Settlement,(718) 599-9224,OST,131 NORMAN AVENUE,11222,40.726135,-73.949649
557,558,After-School Programs,Out of School Time,I.S. 227 EDWARD SHALLOW SCHOOL,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(718) 621-3483,Middle School,6500 16th avenue,11204,40.62191,-73.99502199999999
558,559,"After-School Programs,Summer Program,Summer Camp",Out of School Time,PS 2,Manhattan,Vision Urbana Senior Center,(212) 227-0762,Middle School,122 Henry Street,10002,40.713273,-73.991339
559,560,After-School Programs,Out of School Time,C.S. 134 GEORGE F. BRISTOW SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 825-5626,Elementary,1330 Bristow Street,10459,40.83132,-73.89479399999999
560,561,"After-School Programs,Summer Program,Summer Camp",Out of School Time,PS 272 Temporary,Brooklyn,Bergen Basin Community Development Corp.,(917) 968-2254,Elementary,"101 24 Seaview Ave
Temporary ",11236,40.635915999999995,-73.88641199999999
561,562,After-School Programs,Out of School Time,M.S. 137 M.S. 137 - AMERICA'S,Queens,South Queens Boys & Girls Club,(718) 441-6050,Middle School,109 15 98th Street,11417,40.6781,-73.83994799999999
562,563,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 160 WALT DISNEY SCHOOL,Bronx,"Mosholu Montefiore Community Center, Inc.",(917) 482-5016,Elementary,4140 HUTCHINSON RIVER PKWY,10475,40.864676,-73.824303
563,564,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 19 ASHER LEVY SCHOOL,Manhattan,Chinese American Planning Council,(212) 533-2670,Elementary,185 1st Avenue,10003,40.729636,-73.983818
564,565,After-School Programs,Out of School Time,South Jamaica PAL,Queens,"Police Athletic League, Inc.",(718) 978-4655,High School,116 25 Guy R Brewer Boulevard,11434,40.686208,-73.784144
565,566,After-School Programs,Beacon,PS/IS 217,Manhattan,Roosevelt Island Youth Program Inc. ,212.527.2505,6 and up,645 Main Street,10044,40.763894,-73.947916
566,567,After-School Programs,Out of School Time,H.S. 528 HIGH SCHOOL FOR GLOBA,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,883 Classon Avenue,11225,40.670349,-73.96169499999999
567,568,"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),Opportunities for a Better Tomorrow,Brooklyn,Opportunities for a Better Tomorrow,718.369.0303,16 to 21,783 4th Avenue,11232,40.65927,-73.999268
568,569,After-School Programs,Out of School Time,East Bronx NAACP,Bronx,"Tremont Crotona Day Care Center, Inc",(718) 617-2900,Elementary,1113 Colgate Avenue,10472,40.82629,-73.881509
569,570,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,St. Nicholas NPC/Williamsburg Works,Brooklyn,St Nicholas NPC - Williamsburg Works,(718) 302-2057 x 204,16+,"545 Broadway
Lower Level ",11206,40.704937,-73.949311
570,571,"NDA Programs,Senior Programs,Older Adult Program",Seniors,St. Andrews Senior Housing,Bronx,"Vannguard Urban Improvement Association, Inc.",(718) 542-0006,Seniors,2155 Virgil Place,10473,40.822318,-73.850263
571,572,After-School Programs,Out of School Time,M.S. 210 ELIZABETH BLACKWELL S,Queens,Forest Park Rangers Inc.,(917) 309-4059,Middle School,93 11 101st Avenue,11416,40.683858,-73.84747
572,573,After-School Programs,Out of School Time,Central Park East,Manhattan,"East Harlem Tutorial Program, Inc.",(212) 831-0650,High School,1573 Madison Avenue,10029,40.793763,-73.949381
573,574,"After-School Programs,Summer Program,Summer Camp",Out of School Time,New Life Child Develop. #2,Brooklyn,New Life Child Development Corporation,(718) 417-4206,OST,408 Grove Street,11237,40.701223999999996,-73.912863
574,575,After-School Programs,Out of School Time,Brooklyn Children's Museum,Brooklyn,Brooklyn Childrens Museum,(718) 735-4400,High School,145 Brooklyn Avenue,11213,40.674772999999995,-73.944464
575,576,"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Tolentine-Zeiser Community Center/St. Ritas,Bronx,Good Companions Senior center,(718) 933-6935,Adults,2342 Andrews Avenue,10468,40.862324,-73.906553
576,577,After-School Programs,Out of School Time,P.S. 124 SILAS DUTCHER SCHOOL,Brooklyn,YMCA of Greater New York/Prospect Park,(718) 788-0246,Elementary,515 4th AVENUE,11215,40.667545000000004,-73.991046
577,578,"NDA Programs,Senior Programs,Older Adult Program",Seniors,SEBCO Father Banome Senior Housing,Bronx,Turning Point HDFC (Main Office),(718) 542-0006,Seniors,1876 Belmont Avenue,10457,40.844581,-73.89305300000001
578,579,After-School Programs,Out of School Time,PAL Webster Center,Bronx,"Police Athletic League, Inc.",(718) 733-6748,Elementary,2255 Webster Avenue,10457,40.855656,-73.895978
579,580,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527),Bronx,CPC Queens Branch Office,(718) 665-2486, High School,1100 BOSTON ROAD,10456,40.827514,-73.904622
580,581,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Mill Brook Center,Bronx,"East Side House, Inc.",(718) 585-1254,OST,201 St Ann's Avenue,10454,40.805741999999995,-73.918238
581,582,After-School Programs,Out of School Time,P.S. 229 DYKER SCHOOL,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(718) 236-5447,Elementary,1400 Benson Avenue,11228,40.610963,-74.013376
582,583,Jobs & Internships,Young Adult Internship Program,Brooklyn Job Corps Academy,Brooklyn,Arbor - NY,718.623.4031,16 to 24,585 DeKalb Avenue,11205,40.691223,-73.952765
583,584,After-School Programs,Out of School Time,P.S. 14 JOHN D. CALANDRA SCHOOL,Bronx,YMCA of Greater New York/Bronx,(718) 822-5341,Elementary,3041 Bruckner Boulevard,10461,40.835778999999995,-73.825735
584,585,After-School Programs,Out of School Time,Flatbush Club (high school),Brooklyn,Madison Square Boys & Girls Club,(718) 462-6100,High School,2245 Bedford Avenue,11226,40.649122,-73.955765
585,586,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 259 WILLIAM MCKINLEY (K259),Brooklyn,Elmhurst Jackson Heights Senior Center,(212) 652-2812,Middle School,7301 FT HAMILTON PARKWAY,11228,40.626694,-74.015098
586,587,"After-School Programs,Summer Program,Summer Camp",Out of School Time,MS 56-Corlears,Manhattan,Vision Urbana Senior Center,(212) 227-0762,Middle School,220 Henry Street,10002,40.713684,-73.986336
587,588,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Alianza Dominicana, Inc. (Admin & Activity site)",Bronx,"Alianza Dominicana, Inc.",212.740.1960,18+,1257 Ogden Avenue,10452,40.839378,-73.925714
588,589,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Kips Bay Boys and Girls Club -,Bronx,Kips Bay Boys & Girls Club,(718) 828-4518,OST,625 Castle Hill Avenue,10473,40.819753999999996,-73.848209
589,590,After-School Programs,Out of School Time,Franklin K. Lane,Brooklyn,Cypress Hills Local Development Corporation,(718) 235-1521,High School,999 Jamaica Avenue,11208,40.691146,-73.868328
590,591,After-School Programs,Out of School Time,I.S. 302 RAFAEL CORDERO Y. MOL,Brooklyn,New York Junior Tennis League,(347) 417-8182,Elem/MS/HS,350 Linwood Street,11208,40.677104,-73.883433
591,592,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 140 EAGLE SCHOOL,Bronx,Kips Bay Boys & Girls Club,(718) 585-1205,OST,916 Eagle Avenue,10456,40.823289,-73.907948
592,593,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Grant Day Care,Manhattan,"Boys & Girls Harbor, Inc",(646) 270-1210,Elementary,1299 Amsterdam Avenue,10027,40.811919,-73.957318
593,594,After-School Programs,Out of School Time,Jewish Institute of Queens,Queens,Jewish Institute of Queens,(718) 426-9369,Elementary,60 05 Woodhaven Boulevard,11373,40.731256,-73.871561
594,595,"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.S. 134 GEORGE F. BRISTOW SCH,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 825-5626,OST,1330 Bristow Street,10459,40.83132,-73.89479399999999
595,596,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 170 LEXINGTON SCHOOL,Brooklyn,CAMBA  ,(718) 921-2486,Elementary,7109 6th Avenue,11209,40.630843,-74.01913
596,597,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),The International High School @ Prospect Heights (K524),Brooklyn,Chinese American Planning Council,212.941.0920,High School,883 Classon Avenue,11225,40.670349,-73.96169499999999
597,598,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Red Hook Initiative,Brooklyn,Morrisania Revitalization Corporation,(718) 858-6782,Middle School,595 Clinton Street,11231,40.675090999999995,-74.001676
598,599,"After-School Programs,Summer Program,Summer Camp",Out of School Time,PAL Webster Center,Bronx,"Police Athletic League, Inc.",(718) 733-6748,OST,2255 Webster Avenue,10457,40.855656,-73.895978
599,600,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 166 GEORGE GERSHWIN (K166),Brooklyn,IPR/HE Brooklyn Caregivers,(212) 652-2812,Middle School,800 VAN SICLEN AVENUE,11207,40.660109999999996,-73.885387
600,601,"NDA Programs,Senior Programs,Older Adult Program",Seniors,BCA Bensonhurst District Office,Brooklyn,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275),(718) 438-0008,Seniors,6809 20th Avenue,11204,40.61468,-73.987765
601,602,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 123 P.S. 123,Queens,Safe Space,(347) 678-6437,OST,145 01 119th Avenue,11436,40.678296,-73.79562
602,603,After-School Programs,Out of School Time,P.S./I.S. 83 DONALD HERTZ SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 319-0769,Elementary,950 Rhinelander Avenue,10462,40.849395,-73.859249
603,604,"Family Support,NDA Programs", Housing,Queens Community in Jackson Heights,Queens,Agnes Y. Humphrey School for Leadership 27 (K027),(718) 592-5757,Adults,74 09 37th Avenue,11372,40.748992,-73.891561
604,605,After-School Programs,Beacon,IS 302,Brooklyn,Cypress Hills Local Develoment Corporation ,718.277.3522,6 and up,350 Linwood Street,11208,40.677104,-73.883433
605,606,After-School Programs,Out of School Time,P.S. 48 POLICE OFFICER MICHAEL,Manhattan,Community Association of Progressive Dominicans,(646) 652-9918,Elementary,4360 Broadway,10033,40.853466,-73.934048
606,607,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,New Immigrant Community Empowerment (NICE) (Admin & Activity site),Queens,New Immigrant Community Empowerment (NICE),718.205.8796,18+,37 41 77th Street,11372,40.748031,-73.888838
607,608,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Five Block Day Care,Brooklyn,Big Five Block Association Inc.,(718) 363-3211,Elementary,995 Carroll Street,11225,40.66771,-73.95733100000001
608,609,"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.E.S. 73 P.S. 73,Bronx,Woodycrest Center For Human Development,(718) 293-3198,OST,1020 ANDERSON AVENUE,10452,40.832706,-73.926838
609,610,After-School Programs,Out of School Time,I.S. 113 RONALD EDMONDS SCHOOL,Brooklyn,Long Island University,(718) 488-1514,Middle School,300 Adelphi Street,11205,40.688811,-73.971009
610,611,After-School Programs,Out of School Time,I.S. 13 JACKIE ROBINSON SCHOOL,Manhattan,New York Junior Tennis League,(347) 417-8189,Middle School,1573 Madison Avenue,10029,40.793763,-73.949381
611,612,After-School Programs,Out of School Time,P.S. 219 KENNEDY-KING SCHOOL,Brooklyn,"University Settlement Society of New York, Inc",(917) 828-6376,Elementary,1060 CLARKSON AVENUE,11212,40.659288000000004,-73.922919
612,613,After-School Programs,Beacon,PS 269,Brooklyn,Church Avenue Merchants Block Association Inc. ,718.462.2597 ext.232,6 and up,1957 Nostrand Avenue,11210,40.637710999999996,-73.94815899999999
613,614,After-School Programs,Beacon,JHS 168,Queens,Child Center of New York ,718.820.0760,6 and up,158 40 76th Road,11366,40.724458,-73.810216
614,615,"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718-438-0008,A parent 16 Years Old or Older ,5010 8th Avenue,11220,40.640997999999996,-74.003848
615,616,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Southern Queens Park Association,Queens,Southern Queens Park Association,718-276-4630  x107,14 to 24,177 01 Baisley Boulevard,11434,40.686284,-73.768455
616,617,After-School Programs,Teen Action Program,IS 219 NEW VENTURE SCHOOL (X219),Bronx,"Directions For Our Youth, Inc.",212.362.4020,13 to 21,3630 Third Avenue,10456,40.833511,-73.90449
617,618,After-School Programs,Teen Action Program,High School for Global Citizenship,Brooklyn,"Hospital Audiences, Inc.",212.575.7670 ext.251,13 to 21,883 Classon Avenue,11225,40.670349,-73.96169499999999
618,619,After-School Programs,Out of School Time,M.S. 158 MARIE CURIE SCHOOL,Queens,"Samuel Field YM & YWHA, Inc.",(718) 281-1053,Middle School,46 35 Oceania Street,11361,40.756139000000005,-73.772862
619,620,After-School Programs,Out of School Time,P.S. 56 LOUIS DE SARIO SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 987-8111,Elementary,250 KRAMER AVENUE,10309,40.542246,-74.21400200000001
620,621,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Italian American Civil Rights League (Italian American Civil,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,High School,1460 Pennsylvania Avenue,11239,40.646068,-73.879786
621,622,After-School Programs,Out of School Time,P.S. 19 CURTIS SCHOOL,Staten Island,YMCA of Greater New York/Staten Island YMCA,(718) 889-3477,Elementary,780 POST AVENUE,10310,40.631214,-74.127101
622,623,After-School Programs,Beacon,Tottenville HS,Staten Island,Jewish Community Center of Staten Island,718.605.3033,6 and up,100 Luten Avenue,10312,40.528092,-74.192032
623,624,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Henry Street Settlement, Inc. - Vulnerable Youth",Manhattan,"Henry Street Settlement, Inc. - Vulnerable Youth",212-254-3100,14 to 24,265 Henry Street,10002,40.713857,-73.984532
624,625,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 223 LYNDON BAINES JOHNSON,Queens,The Child Center of New York (QCG) ,(347) 510-4895,OST,125 20 SUTPHIN BOULEVARD,11434,40.674519000000004,-73.789399
625,626,After-School Programs,Out of School Time,YMCA/Flatbush,Brooklyn,YMCA of Greater New York/Flatbush Branch,(718) 469-8100,High School,1401 Flatbush Avenue,11210,40.636511,-73.951539
626,627,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 189 P.S.  189,Manhattan,"Washington Heights- Inwood Coalition, Inc",(347) 726-8046,OST,2580 AMSTERDAM AVENUE,10040,40.852631,-73.927604
627,628,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,"Tolentine -Zeiser Community Life Center/ St, Rita",Bronx,"Catholic Charities Community Service, Archdiocese of N Y",718-365-4360 ,Adult,"2342 Andrews Av (near Fordham Rd
Program Site ",10468,40.862324,-73.906553
629,630,After-School Programs,Out of School Time,Washington Irving HS,Manhattan,The Union Square Partnership,(212) 358-0165,High School,40 Irving Place,10003,40.735494,-73.987659
630,631,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Middle School 206,Bronx,I.S. 126 - The Albert Shanker School for the Visual and Performing Arts,(212) 243-7070,Middle School,2280 Aqueduct Avenue,10468,40.859685999999996,-73.90649499999999
631,632,After-School Programs,Out of School Time,P.S. 291,Bronx,Good Shepherd Services,(718) 563-0473,Elementary,2195 Andrews Avenue,10453,40.85881,-73.909746
632,633,"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,"Southeast Bronx Neighborhood Centers, Inc.",Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",718-542-2727,A parent 16 Years Old or Older ,955 Tinton Avenue,10456,40.823096,-73.902991
633,634,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,United Communities Centers ,Brooklyn,United Communities Centers,718-649-7979,All Ages,613 New Lots Ave,11207,40.664728000000004,-73.886561
634,635,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Franklin K. Lane High School,Brooklyn,Cypress Hills Local Development Corporation,718-235-1521 x103,14 to 24,999 Jamaica Avenue,11208,40.691146,-73.868328
636,637,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,Citizens Advice Bureau - Immigration Assistance Center,Bronx,Citizens Advice Bureau,718-365-0910,All Ages,1477 Townsend Ave,10452,40.841504,-73.915639
637,638,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training,Bronx,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,750 Astor Avenue,10467,40.859588,-73.865442
638,639,"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 77 I.S. 77,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,OST,976 Seneca Avenue,11385,40.699515999999996,-73.90214
639,640,After-School Programs,Out of School Time,P.S. 89 ELMHURST SCHOOL,Queens,The Child Center of New York (QCG) ,(718) 565-5702,Elementary,85 28 Britton Avenue,11373,40.745923,-73.880205
640,641,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA POLO GROUNDS TOWERS,Manhattan,Alianza Dominicana @Polo Grounds Community Center,(212) 491-6127,6 and up,2975 Eighth Avenue,10039,40.830651,-73.936189
641,642,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,F.E.G.S. Brooklyn Resource Center [Program site],Brooklyn,"Federation of Employment and Guidance Services, Inc.",718-336-2836x330 ,Adult,938 Kings Highway,11223,40.607065999999996,-73.962714
642,643,After-School Programs,Out of School Time,Health Sciences HS,Queens,Mt. Sinai School of Medicine,(718) 344-8753,High School,150 91 87th Road,11432,40.707527,-73.806412
643,644,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Bedford Center 1,Brooklyn,The Salvation Army ,(718) 638-1607,OST,601 Lafayette Avenue,11216,40.68999,-73.95044
644,645,After-School Programs,Out of School Time,P.S. 5 DR. RONALD MCNAIR SCHOOL,Brooklyn,SCO Family of Services,(718) 443-8527,Elementary,820 HANCOCK STREET,11233,40.685695,-73.922463
645,646,After-School Programs,Teen Action Program,"Groundwork, Inc.",Brooklyn,"Groundwork Inc,",718.346.2200 ext.127,13 to 21,595 Sutter Avenue,11207,40.669138000000004,-73.89685300000001
646,647,After-School Programs,Out of School Time,Samuel Field,Queens,"Samuel Field YM & YWHA, Inc.",(718) 225-6750,High School,58 20 Little Neck Parkway,11362,40.761577,-73.723122
648,649,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA EASTCHESTER GARDENS,Bronx,Mosholu Montefiore @Eastchester Gardens Community Center,(718) 231-3894,6 and up,3016 Yates Avenue,10469,40.870125,-73.854588
649,650,After-School Programs,Out of School Time,P.S. 149 THE DANNY KAYE SCHOOL,Brooklyn,Groundwork Inc.,(718) 346-2200,Elementary,700 Sutter Avenue,11207,40.669719,-73.892822
650,651,After-School Programs,Beacon,JHS 166,Brooklyn,East New York Development Corporation,718.257.7003,6 and up,800 Van Siclen Ave,11207,40.660109999999996,-73.885387
651,652,After-School Programs,Out of School Time,P.S. 34 OLIVER H. PERRY SCHOOL,Brooklyn,School Settlement,(718) 599-9224,Elementary,131 NORMAN AVENUE,11222,40.726135,-73.949649
652,653,After-School Programs,Out of School Time,Mott Haven Village Prep,Bronx,"East Side House, Inc.",(718) 993-4719,High School,701 St Ann's Avenue,10455,40.81825,-73.91103000000001
653,654,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Colony South Brooklyn Houses,Brooklyn,Colony South Brooklyn Houses,718-643-2930,14 to 24,297 Dean Street,11217,40.684309000000006,-73.982192
654,655,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Community Mediation Services,Queens,Brooklyn Housing & Family Services,(718) 523-6868, High School,89 64 163rd Street,11432,40.70664,-73.79803299999999
655,656,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Henry Street Settlement - Workforce Development Center ,Manhattan,"Henry Street Settlement, Inc. ",212.766.9200,ESOL/Civics,99 Essex Street,10002,40.718942999999996,-73.988012
656,657,"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 105 - Blythebourne School,Brooklyn,Brooklyn Chinese American Association,718-438-0008,A parent 16 Years Old or Older ,1031 59th Street,11219,40.632936,-74.00374000000001
657,658,After-School Programs,Out of School Time,Murry Bergtraum HS,Manhattan,YWCA of the City of New York (Main Branch),(212) 964-9610,High School,411 Pearl Street,10038,40.711442,-74.000851
658,659,After-School Programs,Out of School Time,PAL-Wynn Center,Brooklyn,"Police Athletic League, Inc.",(718) 230-8477,Elementary,495 Gates Avenue,11216,40.686639,-73.946989
659,660,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA FARRAGUT HOUSES,Brooklyn,Goodwill Industries @ David G. Farragut Community Center,(718) 852-6347,6 and up,228 York Street,11201,40.701304,-73.981762
660,661,After-School Programs,Out of School Time,College Quest,Manhattan,"Harlem Educational Activities Fund, Inc.",(212) 663-9732,High School,2090 7th Avenue,10027,40.808639,-73.948582
661,662,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Family Justice Center,Brooklyn,Sanctuary for Families,212-349-6009,All Ages,350 Jay Street,11201,40.693524,-73.987249
662,663,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Greater Ridgewood Youth Council, Inc.",Queens,"Greater Ridgewood Youth Council, Inc.",718-456-5437 x232,14 to 24,62 04 Myrtle Avenue,11385,40.700894,-73.893211
663,664,After-School Programs,Out of School Time,Port Richmond HS 1,Staten Island,New York Center for Interpersonal Development,(718) 947-4122,High School,85 St Joseph Avenue,10302,40.634572999999996,-74.141818
664,665,After-School Programs,Out of School Time,M.S. 172 IRWIN ALTMAN MIDDLE S,Queens,"Samuel Field YM & YWHA, Inc.",(718) 347-3162,Middle School,81 14 257th Street,11004,40.741944000000004,-73.712965
665,666,After-School Programs,Beacon,IS 347,Brooklyn,YMCA/Eastern District,718.947.0604,6 and up,25 Starr Street,11221,40.700515,-73.927658
666,667,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 119 THE AMERSFORT SCHOOL,Brooklyn,Bergen Beach Youth Organization,(718) 986-9837,Elementary,"3829 AVENUE
K ",11210,40.625662,-73.938265
667,668,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,ESOL/Civics,250 Hooper Street,11211,40.705898,-73.955611
668,669,"Immigration Services,Immigrant Support Services",Legal Assistance Program,CAMBA,Brooklyn,"CAMBA, Inc.",718-940-6311 ,All Ages,2211 Church Av,11226,40.650424,-73.958175
669,670,"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.E.S. 230 PS 230 DR ROLAND N,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 583-6116,OST,275 Harlem River Park Bridge,10453,40.852536,-73.921467
670,671,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"Police Athletic League, Inc",Queens,"Police Athletic League, Inc.",212.477.6504,High School,116 25 Guy R Brewer Boulevard,11434,40.686208,-73.784144
671,672,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,PS 3 RAUL JULIA MICRO SOCIETY (X003),Bronx,Healthy Families,(718) 732-7523,Middle School,2100 LAFONTAINE AVENUE,10457,40.849897,-73.892289
672,673,"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),"The Fortune Society, Inc.",Queens,"The Fortune Society, Inc.",212.691.7554 ext. 704,16 to 21,29 76 Northern Boulevard,11101,40.750433,-73.935323
673,674,"Family Support,NDA Programs", Housing,Brooklyn Housing & Family Services,Brooklyn,"Council of Jewish Orgainzations of Flatbush, Inc.",(718) 435-7585,Adults,130 Clarkson Avenue,11226,40.655105,-73.955238
674,675,After-School Programs,Out of School Time,P.S. 22 P.S. 22,Brooklyn,Friends of Crown Heights Educational Center,(718) 638-8686,Elementary,443 St Marks Avenue,11238,40.676774,-73.96005799999999
675,676,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,Brooklyn,Chinese American Planning Council,(212) 941-0041 x 302,16+,4101 8th Avenue,11232,40.64607,-73.998544
676,677,After-School Programs,Teen Action Program,JHS 318 Eugenio Maria Hostos,Brooklyn,Sports and Arts in Schools Foundation,718.230.5400,13 to 21,101 Walton Street,11206,40.7025,-73.94886899999999
