"","location_code","location_name","Location_Category_Description","primary_address_line_1","State_code","LONGITUDE","LATITUDE","NTA_Name","Principal_phone_number","fax_number","community_school_sup_name"
"922","M328","Community Math & Science Prep","Junior High-Intermediate-Middle","401 WEST 164 STREET","NY","-73.937263","40.836982","Washington Heights South","917-521-2508","917-521-7797","RAMIREZ, MANUEL"
"923","M329","Harlem Link Charter School","Elementary","21 WEST 111 STREET","NY","-73.950146","40.798461","Central Harlem South","212-289-3249","212-289-3686","NULL"
"924","M330","Girls Preparatory Charter School of New York","K-8","442 EAST HOUSTON STREET","NY","-73.97738","40.719888","Lower East Side","212-388-0241","212-388-1086","NULL"
"925","M332","University Neighborhood Middle School","Junior High-Intermediate-Middle","220 HENRY STREET","NY","-73.986051","40.713362","Lower East Side","212-267-5701","212-349-8224","CHAN, CARRY"
"926","M333","P.S. 333 Manhattan School for Children","K-8","154 WEST  93 STREET","NY","-73.971011","40.791395","Upper West Side","212-222-1450","212-222-1828","LOUGHLIN, CHRISTINE"
"927","M334","The Anderson School","K-8","100 WEST  77 STREET","NY","-73.977602","40.780536","Upper West Side","212-595-7193","212-496-2854","LOUGHLIN, CHRISTINE"
"928","M335","Harlem Village Academy East Charter School","K-12 all grades","2351 FIRST AVENUE","NY","-73.93374","40.799265","East Harlem North","646-812-9400","212-996-1626","NULL"
"929","M336","KIPP Infinity Charter School","K-12 all grades","625 WEST 133 STREET","NY","-73.956814","40.819793","Manhattanville","212-991-2600","212-234-8396","NULL"
"930","M337","NYC Autism Charter School East Harlem","Ungraded","433 EAST 100 STREET","NY","-73.940919","40.785559","East Harlem South","212-860-2580","212-860-2960","NULL"
"931","M338","WHIN Music Community","Elementary","401 WEST 164 STREET","NY","-73.937263","40.836982","Washington Heights South","347-739-6342","212-227-2763","NULL"
"932","M340","Sixth Avenue Elementary School","Elementary","590 SIXTH AVENUE","NY","-73.995534","40.739145","Hudson Yards-Chelsea-Flatiron-Union Square","917-305-1000","917-305-1005","CHUMNEY, DONALDA"
"933","M340","Sixth Avenue Elementary School","Elementary","590 SIXTH AVENUE","NY","-73.995534","40.739145","Hudson Yards-Chelsea-Flatiron-Union Square","917-305-1000","917-305-1005","CHUMNEY, DONALDA"
"934","M341","Harlem Children's Zone Promise Academy II Charter","K-12 all grades","2005 MADISON AVENUE","NY","-73.938714","40.807019","Central Harlem North-Polo Grounds","212-360-3236","212-281-0804","NULL"
"935","M343","The Peck Slip School","Elementary","1 PECK SLIP","NY","-74.002407","40.708774","Battery Park City-Lower Manhattan","212-312-6260","212-312-6265","CHUMNEY, DONALDA"
"936","M344","Academy of Collaborative Education","Junior High-Intermediate-Middle","222 WEST 134 STREET","NY","-73.945838","40.814917","Central Harlem North-Polo Grounds","212-694-8750","212-694-5875","REEVES, GALE"
"937","M345","Collaborative Academy of Science, Technology, & La","Junior High-Intermediate-Middle","220 HENRY STREET","NY","-73.986051","40.713362","Lower East Side","212-227-0762","212-577-9785","PHILLIPS, DANIELLA"
"938","M346","Community Health Academy of the Heights","Secondary School","504 WEST 158TH STREET","NY","-73.942074","40.833695","Washington Heights South","212-342-6600","212-342-6605","NULL"
"939","M347","The 47 American Sign Language & English Lower Scho","K-8","223 EAST 23 STREET","NY","-73.981329","40.738374","Gramercy","917-326-6609","NULL","CHUMNEY, DONALDA"
"940","M348","Washington Heights Expeditionary Learning School","K-12 all grades","511 WEST 182ND STREET","NY","-73.930991","40.849311","Washington Heights North","212-781-0524","212-781-0742","NULL"
"941","M349","Harbor Heights","Junior High-Intermediate-Middle","306 FORT WASHINGTON AVENUE","NY","-73.939785","40.845459","Washington Heights South","212-568-6052","212-568-7959","RAMIREZ, MANUEL"
"942","M350","Democracy Prep Charter School","K-12 all grades","2230 5 AVENUE","NY","-73.938347","40.813532","Central Harlem North-Polo Grounds","212-281-1248","212-283-4202","NULL"
"943","M351","Success Academy Charter School - Harlem 1","K-12 all grades","34 WEST 118 STREET","NY","-73.948088","40.802649","Central Harlem South","646-277-7170","212-457-5659","NULL"
"944","M353","New Heights Academy Charter School","Secondary School","1818 AMSTERDAM AVENUE","NY","-73.945368","40.82884","Hamilton Heights","212-283-5400","917-507-9314","NULL"
"945","M355","Ross Global Academy Charter School","K-8","420 EAST 12 STREET","NY","-73.982472","40.729152","East Village","212-889-0373","212-889-1760","NULL"
"946","M357","Success Academy Charter School - Harlem 6","Elementary","461 WEST 131 STREET","NY","-73.95357","40.816158","Manhattanville","929-394-1347","164-696-1473","NULL"
"947","M358","Success Academy Charter School - Hudson Yards","Elementary","500 West 41 Street","NY","-73.996499","40.758759","Hudson Yards-Chelsea-Flatiron-Union Square","NULL","NULL","NULL"
"948","M361","The Children's Workshop School","Elementary","610 EAST  12 STREET","NY","-73.978254","40.727537","Lower East Side","212-614-9531","212-614-9462","CHAN, CARRY"
"949","M362","Columbia Secondary School","Secondary School","425 WEST 123 STREET","NY","-73.955722","40.810793","Morningside Heights","212-666-1278","212-666-3805","RUX, DANIKA"
"950","M362","Columbia Secondary School","Secondary School","425 WEST 123 STREET","NY","-73.955722","40.810793","Morningside Heights","212-666-1278","212-666-3805","RUX, DANIKA"
"951","M363","Neighborhood School","Elementary","121 EAST  3 STREET","NY","-73.986214","40.72444","East Village","212-387-0195","212-387-0198","CHAN, CARRY"
"952","M364","Earth School","Elementary","600 EAST  6 STREET","NY","-73.981597","40.72313","Lower East Side","212-477-1735","212-477-2396","CHAN, CARRY"
"953","M366","Washington Heights Academy","K-8","202 SHERMAN AVE","NY","-73.921631","40.865575","Marble Hill-Inwood","212-304-3320","212-304-3322","RAMIREZ, MANUEL"
"954","M367","Academy for Social Action","High school","509 WEST 129 STREET","NY","-73.95552","40.815747","Manhattanville","212-543-6301","212-234-8597","NULL"
"955","M368","Hamilton Heights School","Elementary","1750 AMSTERDAM AVENUE","NY","-73.947599","40.826514","Hamilton Heights","212-862-9940","212-862-9946","RAMIREZ, MANUEL"
"956","M369","Urban Assembly School for the Performing Arts","High school","509 WEST 129 STREET","NY","-73.95552","40.815747","Manhattanville","212-543-4460","212-234-4975","NULL"
"957","M370","IS 370m Learning Project Ms","Junior High-Intermediate-Middle","420 EAST  12 STREET","NY","-73.9829","40.7297","East Village","212-673-9488","212-673-9503","Daniella Phillips"
"958","M372","Esperanza Preparatory Academy","Secondary School","240 EAST 109 STREET","NY","-73.942285","40.792556","East Harlem South","212-722-6507","212-722-6717","ESTRELLA, ALEXANDRA"
"959","M373","Zeta Charter Schools - New York City 1","Elementary","652 WEST 187TH STREET","NY","-73.932869","40.853517","Washington Heights North","NULL","NULL","NULL"
"960","M374","Gramercy Arts High School","High school","40 IRVING PLACE","NY","-73.987064","40.735361","Gramercy","212-253-7076","212-253-8095","NULL"
"961","M375","Mosaic Preparatory Academy","Elementary","141 EAST 111 STREET","NY","-73.944546","40.796098","East Harlem South","212-722-3109","212-722-3167","ESTRELLA, ALEXANDRA"
"962","M376","NYC iSchool","High school","131 AVENUE OF THE AMERICAS","NY","-74.005058","40.72463","SoHo-TriBeCa-Civic Center-Little Italy","917-237-7300","212-219-0743","NULL"
"963","M377","Renaissance School of the Arts","Junior High-Intermediate-Middle","319 EAST 117 STREET","NY","-73.935895","40.797507","East Harlem North","212-534-6072","212-534-7418","ESTRELLA, ALEXANDRA"
"964","M378","School for Global Leaders","Junior High-Intermediate-Middle","145 STANTON STREET","NY","-73.986038","40.72004","Chinatown","212-260-5375","212-432-5586","CHAN, CARRY"
"965","M380","Harlem Village Academy West 2 Charter School","Elementary","74 WEST 124 STREET","NY","-73.945603","40.80669","Central Harlem South","NULL","NULL","NULL"
"966","M381","Global Neighborhood Secondary School","Junior High-Intermediate-Middle","216 EAST 120 STREET","NY","-73.937179","40.79969","East Harlem North","212-289-4204","212-289-4301","ESTRELLA, ALEXANDRA"
"967","M382","DREAM Charter School","K-12 all grades","1991 SECOND AVENUE","NY","-73.945101","40.789174","East Harlem South","212-722-0232","212-348-5979","NULL"
"968","M383","Storefront Academy Harlem Charter School","Elementary","70 EAST 129 STREET","NY","-73.937717","40.807581","Central Harlem North-Polo Grounds","NULL","NULL","NULL"
"969","M384","Success Academy Charter School - Harlem 2","K-8","144-176 EAST 128 STREET","NY","-73.935461","40.805653","East Harlem North","646-442-6600","646-478-9491","NULL"
"970","M385","Success Academy Charter School - Harlem 3","K-12 all grades","410 EAST 100 STREET","NY","-73.942154","40.785107","East Harlem South","646-747-6700","646-478-9492","NULL"
"971","M386","Success Academy Charter School - Harlem 4","K-8","240 WEST 113 STREET","NY","-73.955583","40.801573","Central Harlem South","646-442-6500","646-478-9493","NULL"
"972","M388","St. HOPE Leadership Academy Charter School","Junior High-Intermediate-Middle","222 WEST 134 STREET","NY","-73.945838","40.814917","Central Harlem North-Polo Grounds","212-283-1204","212-283-1207","NULL"
"973","M392","Manhattan Business Academy","High school","351 WEST  18 STREET","NY","-74.00254","40.743407","Hudson Yards-Chelsea-Flatiron-Union Square","212-647-1983","212-647-1989","NULL"
"974","M393","Business Of Sports School","High school","439 WEST 49TH STREET","NY","-73.990318","40.763655","Clinton","212-246-2183","212-246-2913","NULL"
"975","M394","Emma Lazarus High School","High school","100 HESTER STREET","NY","-73.993607","40.716231","Chinatown","212-925-5017","212-925-5920","NULL"
"976","M397","Spruce Street School","K-8","12 SPRUCE STREET","NY","-74.005473","40.711321","Battery Park City-Lower Manhattan","212-266-4800","212-266-4805","CHUMNEY, DONALDA"
"977","M399","The High School For Language And Diplomacy","High school","40 IRVING PLACE","NY","-73.987064","40.735361","Gramercy","212-253-2480","212-253-2539","NULL"
"978","M400","High School for Environmental Studies","High school","444 WEST 56 STREET","NY","-73.98861","40.767848","Clinton","212-262-8113","212-262-0702","NULL"
"979","M400","High School for Environmental Studies","High school","444 WEST 56 STREET","NY","-73.98861","40.767848","Clinton","212-262-8113","212-262-0702","NULL"
"980","M401","Hospital Schools","K-12 all grades","3450 EAST TREMONT AVENUE","NY","-73.827642","40.831829","Schuylerville-Throgs Neck-Edgewater Park","718-794-7260","718-794-7263","LOUISSAINT, KETLER"
"981","M402","The Urban Assembly School for Green Careers","High school","145 WEST  84 STREET","NY","-73.974483","40.786134","Upper West Side","212-787-1189","212-787-1455","NULL"
"982","M403","The Global Learning Collaborative","High school","145 WEST  84 STREET","NY","-73.974483","40.786134","Upper West Side","212-877-1103","212-877-1138","NULL"
"983","M404","Innovation Diploma Plus","High school","145 WEST  84 STREET","NY","-73.974483","40.786134","Upper West Side","212-724-2039","212-724-2765","NULL"
"984","M406","Global Technology Preparatory","Junior High-Intermediate-Middle","160 EAST 120 STREET","NY","-73.939374","40.800616","East Harlem North","212-722-1395","212-722-5864","ESTRELLA, ALEXANDRA"
"985","M407","Institute for Collaborative Education","Secondary School","345 EAST  15TH STREET","NY","-73.98259","40.732665","Gramercy","212-475-7972","212-475-0459","NULL"
"986","M408","Professional Performing Arts High School","Secondary School","328 WEST  48 STREET","NY","-73.988665","40.761327","Clinton","212-247-8652","212-247-7514","NULL"
"987","M409","Coalition School for Social Change","High school","2351 FIRST AVENUE","NY","-73.93374","40.799265","East Harlem North","212-831-5153","212-831-5951","ESTRELLA, ALEXANDRA"
"988","M410","The Urban Assembly Institute for New Technologies","Junior High-Intermediate-Middle","509 WEST 129 STREET","NY","-73.95552","40.815747","Manhattanville","212-543-3840","212-690-5980","REEVES, GALE"
"989","M411","Baruch College Campus High School","High school","55 EAST  25 STREET","NY","-73.985723","40.741888","Hudson Yards-Chelsea-Flatiron-Union Square","212-683-7440","212-683-7338","NULL"
"990","M412","N.Y.C. Lab School for Collaborative Studies","High school","333 WEST  17 STREET","NY","-74.002222","40.742512","Hudson Yards-Chelsea-Flatiron-Union Square","212-691-6119","212-691-2147","NULL"
"991","M413","School of the Future High School","Secondary School","127 EAST  22 STREET","NY","-73.985323","40.739121","Gramercy","212-475-8086","212-475-9273","NULL"
"992","M414","N.Y.C. Museum School","High school","333 WEST  17 STREET","NY","-74.002222","40.742512","Hudson Yards-Chelsea-Flatiron-Union Square","212-675-6206","212-675-6524","NULL"
"993","M415","Wadleigh Secondary School for the Performing & Vis","Secondary School","215 WEST 114 STREET","NY","-73.954152","40.80261","Central Harlem South","212-749-5800","212-749-6463","NULL"
"994","M416","Eleanor Roosevelt High School","High school","411 EAST 76 STREET","NY","-73.953276","40.770288","Lenox Hill-Roosevelt Island","212-772-1220","212-772-1440","NULL"
"995","M417","Frank McCourt High School","High school","145 WEST  84 STREET","NY","-73.974483","40.786134","Upper West Side","212-362-2015","212-362-5926","NULL"
"996","M418","Millennium High School","High school","75 BROAD STREET","NY","-74.011202","40.704697","Battery Park City-Lower Manhattan","212-825-9008","212-825-9095","NULL"
"997","M419","Landmark High School","High school","351 WEST  18 STREET","NY","-74.00254","40.743407","Hudson Yards-Chelsea-Flatiron-Union Square","212-647-7410","212-647-7416","NULL"
"998","M420","High School for Health Professions and Human Servi","High school","345 EAST  15TH STREET","NY","-73.98259","40.732665","Gramercy","212-780-9175","212-979-7261","NULL"
"999","M421","West Prep Academy","Junior High-Intermediate-Middle","150 WEST 105 STREET","NY","-73.965611","40.799098","Upper West Side","212-280-8502","212-280-8509","LOUGHLIN, CHRISTINE"
"1000","M422","Quest to Learn","Secondary School","351 WEST  18 STREET","NY","-74.00254","40.743407","Hudson Yards-Chelsea-Flatiron-Union Square","212-488-3645","NULL","NULL"
"1001","M423","High School for Excellence and Innovation","High school","650 ACADEMY STREET","NY","-73.925464","40.865556","Marble Hill-Inwood","212-569-1022","212-569-1190","NULL"
"1002","M425","Leadership and Public Service High School","High school","90 TRINITY PLACE","NY","-74.012465","40.708971","Battery Park City-Lower Manhattan","212-346-0007","212-346-0612","NULL"
"1003","M427","Manhattan Academy For Arts & Language","High school","111 EAST  33RD STREET","NY","-73.98107","40.74651","Murray Hill-Kips Bay","212-576-0502","212-576-0518","NULL"
"1004","M429","Legacy School for Integrated Studies","High school","34 WEST  14 STREET","NY","-73.995731","40.736416","West Village","212-645-1980","212-645-2596","NULL"
"1005","M430","The Equity Project Charter School (TEP)","K-8","549 AUDOBON AVENUE","NY","-73.92606","40.856532","Washington Heights North","646-254-6451","212-202-3584","NULL"
"1006","M432","Murray Hill Academy","High school","111 EAST  33RD STREET","NY","-73.98107","40.74651","Murray Hill-Kips Bay","212-696-0195","212-696-2498","NULL"
"1007","M433","Renaissance Charter High School for Innovation","High school","410 EAST 100 STREET","NY","-73.942154","40.785107","East Harlem South","212-722-5871","646-430-8555","NULL"
"1008","M435","Manhattan Center for Science and Mathematics","High school","260 PLEASANT AVENUE","NY","-73.932868","40.794184","East Harlem North","212-876-4639","212-996-5946","NULL"
"1009","M436","New School HS D5","High school","2005 MADISON AVENUE","NY","-73.938714","40.807019","Central Harlem North-Polo Grounds","NULL","NULL","RUX, DANIKA"
"1010","M437","Hudson High School of Learning Technologies","High school","351 WEST  18 STREET","NY","-74.00254","40.743407","Hudson Yards-Chelsea-Flatiron-Union Square","212-488-3330","212-488-3335","NULL"
"1011","M438","International High School at Union Square","High school","40 IRVING PLACE","NY","-73.987064","40.735361","Gramercy","212-533-2560","212-228-2946","NULL"
"1012","M439","Manhattan Village Academy","High school","43 WEST  22 STREET","NY","-73.991966","40.741963","Hudson Yards-Chelsea-Flatiron-Union Square","212-242-8752","212-242-7630","NULL"
"1013","M440","Bayard Rustin Educational Complex","High school","351 WEST  18 STREET","NY","-74.00254","40.743407","Hudson Yards-Chelsea-Flatiron-Union Square","212-675-5350","212-255-5701","NULL"
"1014","M442","Ballet Tech, NYC Public School for Dance","K-8","890 BROADWAY","NY","-73.989481","40.738521","Hudson Yards-Chelsea-Flatiron-Union Square","212-254-1803","212-477-5048","CHUMNEY, DONALDA"
"1015","M445","Seward Park Hs","High school","350 GRAND STREET","NY","-73.9893","40.7168","Chinatown","212-674-7000","212-982-8730","Daria Rigney"
"1016","M448","University Neighborhood High School","High school","200 MONROE STREET","NY","-73.984128","40.712269","Lower East Side","212-962-4341","212-267-5611","NULL"
"1017","M449","Vanguard High School","High school","317 EAST  67 STREET","NY","-73.959777","40.765638","Lenox Hill-Roosevelt Island","212-517-5175","212-517-5334","NULL"
"1018","M450","East Side Community School","Secondary School","420 EAST 12 STREET","NY","-73.982472","40.729152","East Village","212-460-8467","212-260-9657","NULL"
"1019","M452","P.S. 452","Elementary","210 WEST  61 STREET","NY","-73.987515","40.771603","Lincoln Square","212-259-6222","212-259-6235","LOUGHLIN, CHRISTINE"
"1020","M458","Forsyth Satellite Academy","High school","198 FORSYTH STREET","NY","-73.990468","40.722415","Chinatown","212-677-8900","212-260-3063","NULL"
"1021","M459","Manhattan International High School","High school","317 EAST  67 STREET","NY","-73.959777","40.765638","Lenox Hill-Roosevelt Island","212-517-6728","212-517-7147","NULL"
"1022","M460","Washington Irving High School","High school","40 IRVING PLACE","NY","-73.987064","40.735361","Gramercy","212-674-5000","212-673-9569","NULL"
"1023","M462","The College Academy","High school","549 AUDUBON AVENUE","NY","-73.92606","40.856532","Washington Heights North","212-927-1841","212-927-2388","RAMIREZ, MANUEL"
"1024","M463","High School for Media and Communications","High school","549 AUDUBON AVENUE","NY","-73.92606","40.856532","Washington Heights North","212-927-1841","212-927-2326","RAMIREZ, MANUEL"
"1025","M467","High School for Law and Public Service","High school","549 AUDUBON AVENUE","NY","-73.92606","40.856532","Washington Heights North","212-342-6130","212-342-6116","RAMIREZ, MANUEL"
"1026","M468","High School for Health Careers and Sciences","High school","549 AUDUBON AVENUE","NY","-73.92606","40.856532","Washington Heights North","212-927-1841","212-927-6129","RAMIREZ, MANUEL"
"1027","M469","Choir Academy of Harlem","Secondary School","2005 MADISON AVENUE","NY","-73.938714","40.807019","Central Harlem North-Polo Grounds","212-289-6227","212-289-4195","NULL"
"1028","M470","Louis D. Brandeis High School","High school","145 WEST  84 STREET","NY","-73.974483","40.786134","Upper West Side","917-441-5600","212-877-1959","NULL"
"1029","M475","Stuyvesant High School","High school","345 CHAMBERS STREET","NY","-74.013921","40.718025","Battery Park City-Lower Manhattan","212-312-4800","212-587-3874","NULL"
"1030","M478","Inwood Academy for Leadership Charter School","Secondary School","3896 10 Avenue","NY","-73.918591","40.865508","Marble Hill-Inwood","646-665-5570","646-665-5599","NULL"
"1031","M479","Beacon High School","High school","522 WEST 44TH STREET","NY","-73.996262","40.760858","Clinton","212-465-4230","212-465-4235","NULL"
"1032","M479","Beacon High School","High school","522 WEST 44TH STREET","NY","-73.996262","40.760858","Clinton","212-465-4230","212-465-4235","NULL"
"1033","M481","Democracy Prep Harlem Charter School","K-12 all grades","207 WEST 133RD STREET","NY","-73.945","40.814598","Central Harlem North-Polo Grounds","212-281-3061","212-281-3064","NULL"
"1034","M482","Success Academy Charter School - Harlem 5","K-8","301 WEST 140 STREET","NY","-73.944551","40.820216","Central Harlem North-Polo Grounds","646-380-2580","646-961-4731","NULL"
"1035","M483","New York French American Charter School","Elementary","311 WEST 120TH STREET","NY","-73.954228","40.807537","Central Harlem South","212-666-4134","212-666-4138","NULL"
"1036","M485","Fiorello H. LaGuardia High School of Music & Art a","High school","100 AMSTERDAM AVENUE","NY","-73.985976","40.774202","Lincoln Square","212-496-0700","212-724-5748","NULL"
"1037","M489","High School of Economics and Finance","High school","100 TRINITY PLACE","NY","-74.012328","40.70927","Battery Park City-Lower Manhattan","212-346-0708","212-346-0712","NULL"
"1038","M490","Martin Luther King Hs","High school","122 AMSTERDAM AVENUE","NY","-73.9848","40.7743","Lincoln Square","212-501-1300","212-501-1350","Roser Salavert"
"1039","M492","High School for Law, Advocacy and Community Justic","High school","122 AMSTERDAM AVENUE","NY","-73.985608","40.774891","Lincoln Square","212-501-1201","212-501-1195","NULL"
"1040","M494","High School of Arts and Technology","High school","122 AMSTERDAM AVENUE","NY","-73.985608","40.774891","Lincoln Square","212-501-1198","917-441-3693","NULL"
"1041","M495","Park East High School","High school","230 EAST 105 STREET","NY","-73.944092","40.790191","East Harlem South","212-831-1517","212-348-6097","NULL"
"1042","M497","Central Park East I","Elementary","1573 MADISON AVENUE","NY","-73.948488","40.793649","East Harlem South","212-860-5821","212-860-6017","ESTRELLA, ALEXANDRA"
"1043","M499","Frederick Douglass Academy","Secondary School","2581 7TH AVENUE","NY","-73.935746","40.823988","Central Harlem North-Polo Grounds","212-491-4107","212-491-4414","RUX, DANIKA"
"1044","M500","Unity Center for Urban Technologies","High school","111 EAST  33RD STREET","NY","-73.98107","40.74651","Murray Hill-Kips Bay","212-576-0530","212-576-0562","NULL"
"1045","M501","Home Instruction","K-12 all grades","3450 EAST TREMONT AVENUE","NY","-73.827642","40.831829","Schuylerville-Throgs Neck-Edgewater Park","646-486-3557","646-486-3556","LOUISSAINT, KETLER"
"1046","M505","Edward A. Reynolds West Side High School","High school","140 WEST 102 STREET","NY","-73.966779","40.797136","Upper West Side","212-678-7300","212-678-7380","NULL"
"1047","M507","Urban Assembly Gateway School for Technology","High school","439 WEST 49TH STREET","NY","-73.990318","40.763655","Clinton","212-246-1041","212-246-2654","NULL"
"1048","M509","Marta Valle High School","High school","145 STANTON STREET","NY","-73.986038","40.72004","Chinatown","212-473-8152","212-475-7588","NULL"
"1049","M513","Castle Bridge School","Elementary","560 WEST 169 STREET","NY","-73.938701","40.841032","Washington Heights South","212-740-4701","212-740-4706","RAMIREZ, MANUEL"
"1050","M514","New Design Middle School","Junior High-Intermediate-Middle","625 WEST 133 STREET","NY","-73.956814","40.819793","Manhattanville","212-281-6339","212-281-6674","RUX, DANIKA"
"1051","M515","Lower East Side Preparatory High School","High school","145 STANTON STREET","NY","-73.986038","40.72004","Chinatown","212-505-6366","212-260-0813","NULL"
"1052","M517","Teachers College Community School","K-8","168 MORNINGSIDE AVENUE","NY","-73.953317","40.812428","Manhattanville","212-316-8080","212-316-8085","RUX, DANIKA"
"1053","M518","East Harlem Scholars Academy Charter School","K-8","2050 Second Avenue","NY","-73.942482","40.79001","East Harlem South","212-348-2518","212-831-7967","NULL"
"1054","M519","Talent Unlimited High School","High school","317 EAST  67 STREET","NY","-73.959777","40.765638","Lenox Hill-Roosevelt Island","212-737-1530","212-737-2863","NULL"
"1055","M520","Murry Bergtraum High School for Business Careers","High school","411 PEARL STREET","NY","-74.000851","40.711441","Chinatown","212-964-9610","212-732-6622","NULL"
"1056","M522","Broome Street Academy Charter School","High school","121 AVENUE OF THE AMERICAS","NY","-74.004692","40.723911","SoHo-TriBeCa-Civic Center-Little Italy","212-453-0295","212-966-7253","NULL"
"1057","M523","Success Academy Charter School - Upper West","K-8","145 WEST  84 STREET","NY","-73.974483","40.786134","Upper West Side","646-274-1580","646-478-9383","NULL"
"1058","M524","Innovate Manhattan Charter School","Junior High-Intermediate-Middle","38 DELANCEY STREET","NY","-73.991859","40.719676","Chinatown","212-432-4310","212-432-4311","NULL"
"1059","M527","P.S. 527 - East Side School for Social Action","Elementary","323 EAST 91 STREET","NY","-73.947856","40.780652","Yorkville","212-828-2710","212-828-2712","CHUMNEY, DONALDA"
"1060","M528","I.S. 528 Bea Fuller Rodgers School","Junior High-Intermediate-Middle","180 WADSWORTH AVENUE","NY","-73.934676","40.850683","Washington Heights North","212-740-4900","212-781-7302","RAMIREZ, MANUEL"
"1061","M529","Jacqueline Kennedy Onassis High School","High school","120 WEST  46 STREET","NY","-73.98346","40.757626","Midtown-Midtown South","212-391-0041","212-391-1293","NULL"
"1062","M530","Project Blend","High school","142-10 LINDEN BOULEVARD","NY","-73.8015","40.6841","Baisley Park","718-322-3580","718-659-9278","Michele Lloyd-Bey"
"1063","M531","Repertory Company High School for Theatre Arts","High school","123 WEST  43 STREET","NY","-73.984381","40.756089","Midtown-Midtown South","212-382-1875","212-382-2306","NULL"
"1064","M532","People's School Of The Arts","High school","6 EDGECOMBE AVENUE","NY","-73.947151","40.817228","Central Harlem North-Polo Grounds","NULL","NULL","RUX, DANIKA"
"1065","M533","Union Square Academy for Health Sciences","High school","40 IRVING PLACE","NY","-73.987064","40.735361","Gramercy","212-253-3110","212-253-3108","NULL"
"1066","M534","Harvest Collegiate High School","High school","34 WEST  14 STREET","NY","-73.995731","40.736416","West Village","212-242-3384","212-242-4173","NULL"
"1067","M535","Park West High School","High school","525 WEST  50TH STREET","NY","-73.9927","40.7651","Clinton","212-262-5860","212-265-1307","Daria Rigney"
"1068","M536","Creative Digital Minds High School","High school","439 WEST 49TH STREET","NY","-73.990318","40.763655","Clinton","NULL","NULL","CHUMNEY, DONALDA"
"1069","M539","New Explorations into Science, Technology and Math","K-12 all grades","111 COLUMBIA STREET","NY","-73.979581","40.719416","Lower East Side","212-677-5190","212-260-8124","NULL"
"1070","M540","A. Philip Randolph Campus High School","High school","443 WEST 135 STREET","NY","-73.949929","40.8185","Manhattanville","212-690-6800","212-690-6805","NULL"
"1071","M541","Manhattan / Hunter Science High School","High school","122 AMSTERDAM AVENUE","NY","-73.985608","40.774891","Lincoln Square","212-501-1235","212-501-1171","NULL"
"1072","M542","Manhattan Bridges High School","High school","525 WEST  50TH STREET","NY","-73.9927","40.765474","Clinton","212-757-5274","646-557-3926","NULL"
"1073","M543","New Design High School","High school","350 GRAND STREET","NY","-73.989329","40.717329","Chinatown","212-475-4148","212-674-2128","NULL"
"1074","M544","Independence High School","High school","850 10TH AVENUE","NY","-73.98861","40.767848","Clinton","212-262-8067","212-262-8110","NULL"
"1075","M544","Independence High School","High school","850 10TH AVENUE","NY","-73.98861","40.767848","Clinton","212-262-8067","212-262-8110","NULL"
"1076","M545","High School for Dual Language and Asian Studies","High school","350 GRAND STREET","NY","-73.989329","40.717329","Chinatown","212-475-4097","212-674-1392","NULL"
"1077","M546","Academy for Software Engineering","High school","40 IRVING PLACE","NY","-73.987064","40.735361","Gramercy","212-253-3299","212-253-3289","NULL"
"1078","M550","Liberty High School Academy for Newcomers","High school","250 WEST  18 STREET","NY","-74.000238","40.74182","Hudson Yards-Chelsea-Flatiron-Union Square","212-691-0934","212-727-1369","NULL"
"1079","M551","Urban Assembly New York Harbor School","High school","10 SOUTH STREET, SLIP 7","NY","-74.018941","40.689493","park-cemetery-etc-Manhattan","212-458-0800","212-458-0801","NULL"
"1080","M551","Urban Assembly New York Harbor School","High school","10 SOUTH STREET, SLIP 7","NY","-74.018941","40.689493","park-cemetery-etc-Manhattan","212-458-0800","212-458-0801","NULL"
"1081","M552","Gregorio Luperon High School for Science and Mathe","High school","501 WEST 165TH STREET","NY","-73.9383","40.8381","Washington Heights South","212-928-1202","212-928-1309","NULL"
"1082","M555","Central Park East High School","High school","1573 MADISON AVENUE","NY","-73.948488","40.793649","East Harlem South","212-860-5929","212-860-6043","NULL"
"1083","M560","High School M560 - City As School","High school","16 CLARKSON STREET","NY","-74.006155","40.729052","West Village","212-337-6800","212-337-6875","NULL"
"1084","M560","High School M560 - City As School","High school","16 CLARKSON STREET","NY","-74.006155","40.729052","West Village","212-337-6800","212-337-6875","NULL"
"1085","M565","Urban Academy Laboratory High School","High school","317 EAST  67 STREET","NY","-73.959777","40.765638","Lenox Hill-Roosevelt Island","212-570-5284","212-570-5366","NULL"
"1086","M570","Satellite Academy High School","High school","120 WEST  30 STREET","NY","-73.990562","40.747425","Midtown-Midtown South","646-674-2800","646-674-2829","NULL"
"1087","M573","Borough Academies","High school","850 10TH AVENUE","NY","-73.9891","40.7683","Clinton","212-889-7567","212-889-8056","Daria Rigney"
"1088","M575","Manhattan Comprehensive Night and Day High School","High school","240 2 AVENUE","NY","-73.984333","40.732699","Gramercy","212-353-2010","212-353-1673","NULL"
"1089","M580","Richard R. Green High School of Teaching","High school","7 BEAVER STREET","NY","-74.013303","40.705688","Battery Park City-Lower Manhattan","646-826-8174","646-826-8175","NULL"
